service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
72985-0000001-0,0,0,0,0,0,0,1,20250831,20260118,2025-08-31 → 2026-01-18 (21 Su)
72986-0000010-0,0,0,0,0,0,1,0,20250906,20260124,2025-09-06 → 2026-01-24 (21 Sa)
72987-1111100-0,1,1,1,1,1,0,0,20250901,20260123,"2025-09-01 → 2026-01-23 (21 Mo, 21 Tu, 21 We, 21 Th, 21 Fr)"
7298753-1111100-53,1,1,1,1,1,0,0,20250902,20260123,"2025-09-02 → 2026-01-23 (18 Mo, 20 Tu, 21 We, 18 Th, 20 Fr)"
7298755-1111100-55,0,0,0,0,1,0,0,20250905,20260123,2025-09-05 → 2026-01-23 (21 Fr)
82013-1111111-0,1,1,1,1,1,1,1,20250831,20260124,"2025-08-31 → 2026-01-24 (21 Mo, 21 Tu, 21 We, 21 Th, 21 Fr, 21 Sa, 21 Su)"
85049-0000001-0,0,0,0,0,0,0,1,20250831,20260118,2025-08-31 → 2026-01-18 (21 Su)
85051-0000010-0,0,0,0,0,0,1,0,20250906,20260124,2025-09-06 → 2026-01-24 (21 Sa)
85057-1111100-0,1,1,1,1,1,0,0,20250902,20260123,"2025-09-02 → 2026-01-23 (20 Mo, 21 Tu, 21 We, 18 Th, 21 Fr)"
8505757-1111100-57,1,1,1,1,1,0,0,20250902,20260123,"2025-09-02 → 2026-01-23 (14 Mo, 17 Tu, 18 We, 18 Th, 18 Fr)"
85069-1111100-0,1,1,1,1,1,0,0,20250902,20250922,"2025-09-02 → 09-22 (3 Mo, 3 Tu, 3 We, 3 Th, 3 Fr)"
8506919-1111100-19,1,1,1,1,1,0,0,20250902,20250922,"2025-09-02 → 09-22 (3 Mo, 3 Tu, 3 We, 3 Th, 3 Fr)"
85070-0000010-0,0,0,0,0,0,1,0,20250906,20250920,2025-09-06 → 09-20 (3 Sa)
85071-0000001-0,0,0,0,0,0,0,1,20250831,20250921,2025-08-31 → 09-21 (4 Su)
85072-1111100-0,1,1,1,1,1,0,0,20250902,20260123,"2025-09-02 → 2026-01-23 (20 Mo, 21 Tu, 21 We, 18 Th, 21 Fr)"
8507211-1111100-11,0,0,0,1,0,0,0,20250904,20260122,"2025-09-04 → 2026-01-22 (3 We, 18 Th)"
8507261-1111100-61,1,1,1,1,1,0,0,20250902,20260123,"2025-09-02 → 2026-01-23 (13 Mo, 16 Tu, 18 We, 18 Th, 18 Fr)"
