service_id,date,exception_type
7298753-1111100-53,20251013,2
7298753-1111100-53,20251111,2
7298753-1111100-53,20251127,2
7298753-1111100-53,20251128,2
7298753-1111100-53,20251225,2
7298753-1111100-53,20260101,2
7298753-1111100-53,20260119,2
85057-1111100-0,20251127,2
85057-1111100-0,20251225,2
85057-1111100-0,20260101,2
8505757-1111100-57,20250929,2
8505757-1111100-57,20251111,2
8505757-1111100-57,20251117,2
8505757-1111100-57,20251124,2
8505757-1111100-57,20251125,2
8505757-1111100-57,20251126,2
8505757-1111100-57,20251127,2
8505757-1111100-57,20251128,2
8505757-1111100-57,20251222,2
8505757-1111100-57,20251223,2
8505757-1111100-57,20251224,2
8505757-1111100-57,20251225,2
8505757-1111100-57,20251226,2
8505757-1111100-57,20251229,2
8505757-1111100-57,20251230,2
8505757-1111100-57,20251231,2
8505757-1111100-57,20260101,2
8505757-1111100-57,20260102,2
8505757-1111100-57,20260119,2
85072-1111100-0,20251127,2
85072-1111100-0,20251225,2
85072-1111100-0,20260101,2
8507211-1111100-11,20251126,1
8507211-1111100-11,20251224,1
8507211-1111100-11,20251231,1
8507211-1111100-11,20251127,2
8507211-1111100-11,20251225,2
8507211-1111100-11,20260101,2
8507261-1111100-61,20251013,2
8507261-1111100-61,20251110,2
8507261-1111100-61,20251111,2
8507261-1111100-61,20251124,2
8507261-1111100-61,20251125,2
8507261-1111100-61,20251126,2
8507261-1111100-61,20251127,2
8507261-1111100-61,20251128,2
8507261-1111100-61,20251222,2
8507261-1111100-61,20251223,2
8507261-1111100-61,20251224,2
8507261-1111100-61,20251225,2
8507261-1111100-61,20251226,2
8507261-1111100-61,20251229,2
8507261-1111100-61,20251230,2
8507261-1111100-61,20251231,2
8507261-1111100-61,20260101,2
8507261-1111100-61,20260102,2
8507261-1111100-61,20260105,2
8507261-1111100-61,20260106,2
8507261-1111100-61,20260119,2
850727-1111100-7,20250902,1
85073-1111100-0,20251127,2
85073-1111100-0,20251225,2
85073-1111100-0,20260101,2
8507327-1111100-27,20251111,2
8507327-1111100-27,20251124,2
8507327-1111100-27,20251125,2
8507327-1111100-27,20251126,2
8507327-1111100-27,20251127,2
8507327-1111100-27,20251128,2
8507365-1111100-65,20251013,2
8507365-1111100-65,20251110,2
8507365-1111100-65,20251111,2
8507365-1111100-65,20251124,2
8507365-1111100-65,20251125,2
8507365-1111100-65,20251126,2
8507365-1111100-65,20251127,2
8507365-1111100-65,20251128,2
8507365-1111100-65,20251222,2
8507365-1111100-65,20251223,2
8507365-1111100-65,20251224,2
8507365-1111100-65,20251225,2
8507365-1111100-65,20251226,2
8507365-1111100-65,20251229,2
8507365-1111100-65,20251230,2
8507365-1111100-65,20251231,2
8507365-1111100-65,20260101,2
8507365-1111100-65,20260102,2
8507365-1111100-65,20260119,2
85089-1111100-0,20251127,2
85089-1111100-0,20251225,2
85089-1111100-0,20260101,2
85109-1111100-0,20251127,2
85109-1111100-0,20251128,2
85109-1111100-0,20251225,2
85109-1111100-0,20260101,2
8510959-1111100-59,20251013,2
8510959-1111100-59,20251110,2
8510959-1111100-59,20251111,2
8510959-1111100-59,20251124,2
8510959-1111100-59,20251125,2
8510959-1111100-59,20251126,2
8510959-1111100-59,20251127,2
8510959-1111100-59,20251128,2
8510959-1111100-59,20251222,2
8510959-1111100-59,20251223,2
8510959-1111100-59,20251224,2
8510959-1111100-59,20251225,2
8510959-1111100-59,20251226,2
8510959-1111100-59,20251229,2
8510959-1111100-59,20251230,2
8510959-1111100-59,20251231,2
8510959-1111100-59,20260101,2
8510959-1111100-59,20260102,2
8510959-1111100-59,20260119,2
8511063-0000010-63,20251025,1
8511063-0000010-63,20251213,1
85111-0000001-0,20250901,1
85111-0000001-0,20251128,1
85111-0000001-0,20260101,1
8511163-0000001-63,20250901,1
8511163-0000001-63,20251130,1
8511163-0000001-63,20260101,1
85127-1111100-0,20251127,2
85127-1111100-0,20251225,2
85127-1111100-0,20260101,2
8512715-1111100-15,20251111,2
8512715-1111100-15,20251124,2
8512715-1111100-15,20251125,2
8512715-1111100-15,20251126,2
8512715-1111100-15,20251127,2
8512715-1111100-15,20251128,2
8512721-1111100-21,20251111,2
8512721-1111100-21,20251127,2
8512721-1111100-21,20251128,2
8512721-1111100-21,20251208,2
8512721-1111100-21,20251209,2
8512721-1111100-21,20251210,2
8512721-1111100-21,20251211,2
8512721-1111100-21,20251212,2
8512721-1111100-21,20251215,2
8512721-1111100-21,20251216,2
8512721-1111100-21,20251217,2
8512721-1111100-21,20251218,2
8512721-1111100-21,20251219,2
8512721-1111100-21,20251222,2
8512721-1111100-21,20251223,2
8512721-1111100-21,20251224,2
8512721-1111100-21,20251225,2
8512721-1111100-21,20251226,2
8512721-1111100-21,20251229,2
8512721-1111100-21,20251230,2
8512721-1111100-21,20251231,2
8512721-1111100-21,20260101,2
8512721-1111100-21,20260102,2
8512721-1111100-21,20260119,2
85130-0000001-0,20250901,1
85130-0000001-0,20251127,1
85130-0000001-0,20251225,1
85130-0000001-0,20260101,1
85131-0000001-0,20250901,1
85131-0000001-0,20251127,1
85131-0000001-0,20251225,1
85131-0000001-0,20260101,1
85133-0000001-0,20251204,2
85133-0000001-0,20251211,2
85133-0000001-0,20251218,2
85582-1111100-0,20251127,2
85582-1111100-0,20251225,2
85582-1111100-0,20260101,2
8558219-1111100-19,20251111,2
8558219-1111100-19,20251127,2
8558219-1111100-19,20251128,2
85591-0000001-0,20251204,2
85591-0000001-0,20251211,2
85591-0000001-0,20251218,2
